MANDT,MSEHI,KZEX3,KZEX6,ANDEC,KZKEH,KZWOB,KZ1EH,KZ2EH,DIMID,ZAEHL,NENNR,EXP10,ADDKO,EXPON,DECAN,ISOCODE,PRIMARY,TEMP_VALUE,TEMP_UNIT,FAMUNIT,PRESS_VAL,PRESS_UNIT,MSEH3,MSEH6,MSEHT
"001","%","","","0","","","","","PROPOR","1","100","0","0.000000","0","0","P1","","0.0000000000000000E+00","","","0.0000000000000000E+00","","%","%","%"
"001","%O","","","0","","","","","PROPOR","1","1.000","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","%O","%O","%0"
"001","1","","","0","","","","","PROPOR","1","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","ONE","One","One"
"001","10","","","0","","","","","TIME","86.400","1","0","0.000000","0","0","DAY","","0.0000000000000000E+00","","","0.0000000000000000E+00","","D","d","Days"
"001","22S","","","0","","","","","VISKIN","1","1.000.000","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","22S","mm2/s","mm2/s"
"001","2M","","","0","","","","","SPEED","1","1","2-","0.000000","0","0","2M","","0.0000000000000000E+00","","","0.0000000000000000E+00","","CMS","cm/s","cm/s"
"001","2X","","","0","","","","","SPEED","1","60","0","0.000000","0","0","2","","0.0000000000000000E+00","","","0.0000000000000000E+00","","000","m/min","m/min"
"001","4G","","","0","","","","","VOLUME","1","1","9-","0.000000","0","0","4G","","0.0000000000000000E+00","","","0.0000000000000000E+00","","µL","µl","µl"
"001","4O","","","0","","","","","CAPACI","1","1","6-","0.000000","0","0","4O","","0.0000000000000000E+00","","","0.0000000000000000E+00","","µF","µF","µF"
"001","4T","","","0","","","","","CAPACI","1","1","12-","0.000000","0","0","4T","","0.0000000000000000E+00","","","0.0000000000000000E+00","","PF","pF","pF"
"001","A","","","0","","","","","ECURR","1","1","0","0.000000","0","0","AMP","","0.0000000000000000E+00","","","0.0000000000000000E+00","","A","A","A"
"001","A87","","","0","","","","","RESIST","1","1","9","0.000000","0","0","A87","","0.0000000000000000E+00","","","0.0000000000000000E+00","","GOH","GOhm","GOhm"
"001","A93","","","0","","","","","DENSI","1","1","3-","0.000000","0","0","A93","","0.0000000000000000E+00","","","0.0000000000000000E+00","","GM3","g/m3","g/m3"
"001","ACR","","","0","","","","","SURFAC","1.210.000","299","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","ACR","acre","Acre"
"001","B34","","","0","","","","","DENSI","1","1","3","0.000000","0","0","B34","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KD3","kg/dm3","kg/dm3"
"001","B45","","","0","","","","","MOLQU","1","1","3","0.000000","0","0","B45","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KML","kmol","kmol"
"001","B47","","","0","","","","","FORCE","1","1","3","0.000000","0","0","B47","","0.0000000000000000E+00","","","0.0000000000000000E+00","","NI","ND","ND"
"001","B73","","","0","","","","","FORCE","1","1","6","0.000000","0","0","B73","","0.0000000000000000E+00","","","0.0000000000000000E+00","","MN","MN","MN"
"001","B75","","","0","","","","","RESIST","1","1","6","0.000000","0","0","B75","","0.0000000000000000E+00","","","0.0000000000000000E+00","","MGO","MOhm","MOhm"
"001","B78","","","0","","","","","VOLTAG","1","1","6","0.000000","0","0","B78","","0.0000000000000000E+00","","","0.0000000000000000E+00","","MHV","MV","MV"
"001","B84","","","0","","","","","ECURR","1","1","6-","0.000000","0","0","B84","","0.0000000000000000E+00","","","0.0000000000000000E+00","","µA","µA","µA"
"001","BAG","","","0","","","","","AAAADL","1","1","0","0.000000","0","0","BG","","0.0000000000000000E+00","","","0.0000000000000000E+00","","BAG","Bag","Bag"
"001","BAR","","","0","","","","","PRESS","100.000","1","0","0.000000","0","0","BAR","","0.0000000000000000E+00","","","0.0000000000000000E+00","","BAR","bar","bar"
"001","BOT","","","0","","","","","AAAADL","1","1","0","0.000000","0","0","BO","","0.0000000000000000E+00","","","0.0000000000000000E+00","","BT","Bt.","Bottle"
"001","BQK","","","0","","","","","SPARAD","1","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","BQK","Bq/kg","Bq/kg"
"001","C10","","","0","","","","","CAPACI","1","1","3-","0.000000","0","0","C10","","0.0000000000000000E+00","","","0.0000000000000000E+00","","RF","mF","mF"
"001","C36","","","0","","","","","ACBAC","1","1","0","0.000000","0","3","C36","","0.0000000000000000E+00","","","0.0000000000000000E+00","","M/M","mol/m3","Mo/m3"
"001","C38","","","0","","","","","ACBAC","1.000","1","0","0.000000","0","3","C38","","0.0000000000000000E+00","","","0.0000000000000000E+00","","M/L","Mol/l","Mol/Liter"
"001","C39","","","0","","","","","ECURR","1","1","9-","0.000000","0","0","C39","","0.0000000000000000E+00","","","0.0000000000000000E+00","","NA","nA","nA"
"001","C3S","","","0","","","","","VOLFLO","1","1.000.000","0","0.000000","0","0","2J","","0.0000000000000000E+00","","","0.0000000000000000E+00","","C3S","cm3/s","cm3/s"
"001","C41","","","0","","","","","CAPACI","1","1","9-","0.000000","0","0","C41","","0.0000000000000000E+00","","","0.0000000000000000E+00","","R-U","nF","nF"
"001","C56","","","0","","","","","PRESS","1","1","6","0.000000","0","0","C56","","0.0000000000000000E+00","","","0.0000000000000000E+00","","NMM","N/mm2","N/mm2"
"001","CCM","","","3","","","","","VOLUME","1","1.000.000","0","0.000000","0","0","CMQ","","0.0000000000000000E+00","","","0.0000000000000000E+00","","CCM","cm3","cm3"
"001","CD","","","0","","","","","LIGHT","1","1","0","0.000000","0","0","CDL","","0.0000000000000000E+00","","","0.0000000000000000E+00","","CD","cd","cd"
"001","CDM","","","3","","","","","VOLUME","1","1.000","0","0.000000","0","0","DMQ","","0.0000000000000000E+00","","","0.0000000000000000E+00","","CD3","dm3","Cubicdec."
"001","CM","","","3","","","","","LENGTH","1","100","0","0.000000","0","0","CMT","","0.0000000000000000E+00","","","0.0000000000000000E+00","","CM","cm","cm"
"001","CM2","","","3","","","","","SURFAC","1","10.000","0","0.000000","0","0","CMK","","0.0000000000000000E+00","","","0.0000000000000000E+00","","CM2","cm2","cm2"
"001","CMH","","","0","","","","","SPEED","1","360.000","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","CMH","cm/h","cm/h"
"001","CS","","","0","","","","","AAAADL","1","1","0","0.000000","0","0","CS","","0.0000000000000000E+00","","","0.0000000000000000E+00","","CV","Case","Case"
"001","CTL","","","0","","","","","VOLUME","1","100.000","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","CL","Cl","Centiliter"
"001","D10","","","0","","","","","CONDUC","1","1","0","0.000000","0","3","D10","","0.0000000000000000E+00","","","0.0000000000000000E+00","","S/M","S/m","Siemens/m"
"001","D41","","","0","","","","","DENSI","1","1","3","0.000000","0","0","D41","","0.0000000000000000E+00","","","0.0000000000000000E+00","","TOM","t/m3","t/m3"
"001","D46","","","0","","","","","POWER","1","1","0","0.000000","0","0","D46","","0.0000000000000000E+00","","","0.0000000000000000E+00","","VAM","VAM","VA"
"001","DEG","","","99","","","","","AAAADL","1","1","0","0.000000","0","1","DD","","0.0000000000000000E+00","","","0.0000000000000000E+00","","DEG","deg","Degree"
"001","DM","","","3","","","","","LENGTH","1","10","0","0.000000","0","0","DMT","","0.0000000000000000E+00","","","0.0000000000000000E+00","","DM","dm","dm"
"001","DR","","","0","","","","","AAAADL","1","1","0","0.000000","0","0","DR","","0.0000000000000000E+00","","","0.0000000000000000E+00","","DR","Dr","Drum"
"001","DZ","","","0","","","","","AAAADL","1","1","0","0.000000","0","0","DZN","","0.0000000000000000E+00","","","0.0000000000000000E+00","","DZ","dz","Dozen"
"001","EA","","","0","","","","","AAAADL","1","1","0","0.000000","0","0","EA","","0.0000000000000000E+00","","","0.0000000000000000E+00","","EA","EA","each"
"001","EE","","","0","","","","","AAAADL","1","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","EU","EU","Enzy.Units"
"001","EML","","","0","","","","","AAAADL","1","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","EML","EU/ml","Enzyme/ml"
"001","F","","","0","","","","","CAPACI","1","1","0","0.000000","0","0","FAR","","0.0000000000000000E+00","","","0.0000000000000000E+00","","F","F","F"
"001","FA","","","0","","","","","TEMP","5","9","0","255.372222","0","0","FAH","","0.0000000000000000E+00","","","0.0000000000000000E+00","","°F","°F","°F"
"001","FT","","","0","","","","","LENGTH","381","1.250","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","FT","Foot","Foot"
"001","FT2","","","0","","","","","SURFAC","250","2.691","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","FT2","ft2","Squareft"
"001","FT3","","","0","","","","","VOLUME","28.316.736","1","9-","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","FT3","ft3","Cubicft"
"001","G","","","3","","","","","MASS","1","1.000","0","0.000000","0","0","GRM","","0.0000000000000000E+00","","","0.0000000000000000E+00","","G","g","g"
"001","G/L","","","0","","","","","AAAADL","1","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","G/L","gai/l","gai/liter"
"001","GAU","","","99","","","","","AAAADL","1","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","GAU","GAU","GramGold"
"001","GC","","","0","","","","","TEMP","1","1","0","273.150000","0","0","CEL","","0.0000000000000000E+00","","","0.0000000000000000E+00","","°C","°C","°C"
"001","GHG","","","0","","","","","MPROPO","1","100","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","GHG","g/hg","g/hg"
"001","GJ","","","0","","","","","ENERGY","1","1","9","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","GJ","GJ","Gigajoule"
"001","GKG","","","0","","","","","MPROPO","1","1.000","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","GKG","g/kg","g/kg"
"001","GLI","","","0","","","","","DENSI","1","1","0","0.000000","0","0","GL","","0.0000000000000000E+00","","","0.0000000000000000E+00","","GLI","g/l","g/l"
"001","GLL","","","0","","","","","VOLUME","3.785.344","1","9-","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","GAL","galUS","USgallon"
"001","GLM","","","3","","","","","SURFAC","473.168","201.168","6-","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","GPM","GPMUS","Gal/Mi(US)"
"001","GM","","","0","","","","","MOLMAS","1","1.000","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","GM","g/mol","g/mol"
"001","GM2","","","0","","","","","MASSBD","1","1.000","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","GM2","g/m2","g/m2"
"001","GPH","","","3","","","","","VOLFLO","3.785.344","3.600","9-","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","GPH","GPHUS","Gal/hrUS"
"001","GQ","","","0","","","","","DENSI","1","1","9-","0.000000","0","0","GQ","","0.0000000000000000E+00","","","0.0000000000000000E+00","","µGQ","µg/m3","µg/m3"
"001","GRO","","","0","","","","","AAAADL","1","1","0","0.000000","0","0","GRO","","0.0000000000000000E+00","","","0.0000000000000000E+00","","GRO","gro","Gross"
"001","GW","","","0","","","","","AAAADL","1","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","GAI","gai","gact.ing."
"001","H","","","3","","","","","TIME","3.600","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","H","h","Hour"
"001","HAR","","","0","","","","","SURFAC","10.000","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","HA","Hectar","Hectare"
"001","HL","","","3","","","","","VOLUME","1","10","0","0.000000","0","0","HLT","","0.0000000000000000E+00","","","0.0000000000000000E+00","","HL","hl","hl"
"001","HPA","","","0","","","","","PRESS","100","1","0","0.000000","0","0","A97","","0.0000000000000000E+00","","","0.0000000000000000E+00","","HPA","hPa","hPa"
"001","HZ","","","0","","","","","FREQU","1","1","0","0.000000","0","0","HTZ","","0.0000000000000000E+00","","","0.0000000000000000E+00","","HZ","Hz","Hz"
"001","IN","","","3","","","","","LENGTH","127","5.000","0","0.000000","0","0","INH","","0.0000000000000000E+00","","","0.0000000000000000E+00","","""","""","Inches"
"001","IN2","","","0","","","","","SURFAC","125","193.752","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","""2","Inch2","Inch2"
"001","IN3","","","0","","","","","VOLUME","16.387","1","9-","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","""3","Inch3","Cubicinch"
"001","J","","","0","","","","","ENERGY","1","1","0","0.000000","0","0","JOU","","0.0000000000000000E+00","","","0.0000000000000000E+00","","J","J","J"
"001","JHR","","","0","","","","","TIME","31.536.000","1","0","0.000000","0","0","ANN","","0.0000000000000000E+00","","","0.0000000000000000E+00","","YR","yr","Year"
"001","JKG","","","0","","","","","SPENER","1","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","JKG","J/kg","J/kg"
"001","JKK","","","0","","","","","SPHCAP","1","1","0","0.000000","0","0","B11","","0.0000000000000000E+00","","","0.0000000000000000E+00","","JKK","J/kgK","J/(kg*K)"
"001","JMO","","","0","","","","","MOENER","1","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","JMO","J/mol","J/mol"
"001","K","","","0","","","","","TEMP","1","1","0","0.000000","0","0","KEL","","0.0000000000000000E+00","","","0.0000000000000000E+00","","K","K","K"
"001","KA","","","0","","","","","ECURR","1.000","1","0","0.000000","0","0","B22","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KA","kA","kA"
"001","KAN","","","0","","","","","AAAADL","1","1","0","0.000000","0","0","CA","","0.0000000000000000E+00","","","0.0000000000000000E+00","","CAN","Can","Canister"
"001","KAR","","","0","","","","","AAAADL","1","1","0","0.000000","0","0","CT","","0.0000000000000000E+00","","","0.0000000000000000E+00","","CAR","Car","Carton"
"001","KBK","","","0","","","","","SPARAD","1.000","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KBK","kBq/kg","kBq/kg"
"001","KG","","","3","","","","","MASS","1","1","0","0.000000","0","0","KGM","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KG","kg","kg"
"001","KGF","","","0","","","","","MASSBD","1","1","0","0.000000","0","0","28","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KGF","kg/m2","kg/m2"
"001","KGK","","","0","","","","","MPROPO","1","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KGK","kg/kg","kg/kg"
"001","KGM","","","0","","","","","MOLMAS","1","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KGM","kg/mol","kg/mol"
"001","KGS","","","0","","","","","MASFLO","1","1","0","0.000000","0","0","KGS","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KGS","kg/s","kg/s"
"001","KGV","","","0","","","","","DENSI","1","1","0","0.000000","0","0","KMQ","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KGV","kg/m3","kg/m3"
"001","KGW","","","0","","","","","AAAADL","1","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KAI","kgai","kgac.ing."
"001","KHZ","","","0","","","","","FREQU","1.000","1","0","0.000000","0","0","KHZ","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KHZ","kHz","kHz"
"001","KI","","","0","","","","","AAAADL","1","1","0","0.000000","0","0","B","","0.0000000000000000E+00","","","0.0000000000000000E+00","","CRT","Crate","Crate"
"001","KJ","","","0","","","","","ENERGY","1.000","1","0","0.000000","0","0","KJO","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KJ","kJ","kJ"
"001","KJK","","","0","","","","","SPENER","1.000","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KJK","KJ/kg","KJ/kg"
"001","KJM","","","0","","","","","MOENER","1.000","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KJM","KJ/mol","KJ/mol"
"001","KM","","","0","","","","","LENGTH","1.000","1","0","0.000000","0","0","KMT","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KM","km","km"
"001","KM2","","","0","","","","","SURFAC","1.000.000","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KM2","km2","km2"
"001","KMH","","","0","","","","","SPEED","10","36","0","0.000000","0","0","KMH","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KMH","km/h","km/h"
"001","KMK","","","0","","","","","VPROPO","1","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KMK","m3/m3","m3/m3"
"001","KMN","","","0","","","","","TEMPRT","1","60","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KMN","K/min","K/min"
"001","KMS","","","0","","","","","TEMPRT","1","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KMS","K/s","K/s"
"001","KOH","","","0","","","","","RESIST","1.000","1","0","0.000000","0","0","B49","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KOH","kOhm","kOhm"
"001","KPA","","","0","","","","","PRESS","1","1","3","0.000000","0","0","KPA","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KPA","kPa","kPa"
"001","KT","","","0","","","","","MASS","1.000.000","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KT","kt","kt"
"001","KV","","","0","","","","","VOLTAG","1.000","1","0","0.000000","0","0","KVT","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KV","kV","kV"
"001","KVA","","","0","","","","","POWER","1","1","3","0.000000","0","0","KVA","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KVA","kVA","kVA"
"001","KW","","","3","","","","","POWER","1.000","1","0","0.000000","0","0","KWT","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KW","KW","KW"
"001","KWH","","","99","","","","","ENERGY","3.600","1","3","0.000000","0","0","KWH","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KWH","kW.h","kW.h"
"001","KWK","","","0","","","","","AAAADL","1","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KIK","kai/kg","kai/kg"
"001","L","","","3","","","","","VOLUME","1","1.000","0","0.000000","0","0","LTR","","0.0000000000000000E+00","","","0.0000000000000000E+00","","L","l","l"
"001","L2","","","0","","","","","VOLFLO","1","60.000","0","0.000000","0","0","L2","","0.0000000000000000E+00","","","0.0000000000000000E+00","","LMI","l/min","l/min"
"001","LB","","","0","","","","","MASS","453.592","1.000.000","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","LB","lb","Pound"
"001","LE","","","3","","","","","AAAADL","1","1","0","0.000000","0","0","C62","","0.0000000000000000E+00","","","0.0000000000000000E+00","","AU","AU","AU"
"001","LHK","","","3","","","","","SURFAC","1","1","8-","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","LHK","l/hkm","l/100km"
"001","LMS","","","0","","","","","HYDROL","1","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","LMS","l/m_.s","l/mol.s"
"001","LPH","","","3","","","","","VOLFLO","1","3.600.000","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","LPH","L/hr","Liter/hr"
"001","M","","","2","","","","","LENGTH","1","1","0","0.000000","0","0","MTR","","0.0000000000000000E+00","","","0.0000000000000000E+00","","M","m","m"
"001","M%","","","0","","","","","MPROPO","1","100","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","M%","%(m)","%(m)"
"001","M%O","","","0","","","","","MPROPO","1","1.000","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","M%O","%O(m)","%0(mass)"
"001","M/S","","","0","","","","","SPEED","1","1","0","0.000000","0","0","MTS","","0.0000000000000000E+00","","","0.0000000000000000E+00","","M/S","m/s","m/s"
"001","M2","","","3","","","","","SURFAC","1","1","0","0.000000","0","0","MTK","","0.0000000000000000E+00","","","0.0000000000000000E+00","","M2","m2","m2"
"001","M2I","","","3","","","","","SURINV","1","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","M-2","1/M2","1/M2"
"001","M2S","","","0","","","","","VISKIN","1","1","0","0.000000","0","0","S4","","0.0000000000000000E+00","","","0.0000000000000000E+00","","M2S","m2/s","m2/s"
"001","M3","","","3","","","","","VOLUME","1","1","0","0.000000","0","0","MTQ","","0.0000000000000000E+00","","","0.0000000000000000E+00","","M3","m3","m3"
"001","M3D","","","0","","","","","VOLFLO","1","86.400","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","M3D","m3/d","m3/day"
"001","M3S","","","0","","","","","VOLFLO","1","1","0","0.000000","0","0","MQS","","0.0000000000000000E+00","","","0.0000000000000000E+00","","M3S","m3/s","m3/s"
"001","MA","","","0","","","","","ECURR","1","1.000","0","0.000000","0","0","4K","","0.0000000000000000E+00","","","0.0000000000000000E+00","","MA","mA","mA"
"001","MBA","","","0","","","","","PRESS","100","1","0","0.000000","0","0","MBR","","0.0000000000000000E+00","","","0.0000000000000000E+00","","MBA","mbar","mbar"
